Sr.No.,ORGANIZATION NAME,LINK
86,KITCO,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SRebWmmzKEyWMEGexNc4mntS0Fec7wUuNy1YFXyqSerE%3D
87,Kochi Metro Rail Ltd,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SWeLNRg6pxVRUW2l2%2BZZl8dS0Fec7wUuNy1YFXyqSerE%3D
88,LBS Centre for Science and Technology,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=Sz5Iv1E1pZmzHPOn8zd%2Bq0NS0Fec7wUuNy1YFXyqSerE%3D
89,Local Self Government Department,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SabS26NOZKSuM4YZUo4iE7A%3D%3D
90,Mahatma Gandhi University,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SZMa3XWodjQ43jQpFwLO2StS0Fec7wUuNy1YFXyqSerE%3D
91,Malabar Cancer Centre,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SY72APCBUf3OzE3RemNdu5w%3D%3D
92,Malabar Cements Ltd,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=So2%2B9tAgdUu57%2FfjN7BQj4A%3D%3D
93,Matsyafed,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SWCYgOQ6%2BoWJgcrqIT%2B3UJ9S0Fec7wUuNy1YFXyqSerE%3D
94,Nehru Arts  and Science College Kanhangad,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SiNd4wFYSVofMq9drAMc%2Fk9S0Fec7wUuNy1YFXyqSerE%3D
95,Office of the Commissioner of Food Safety Kerala,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SIPImo%2BkLa%2FWA8WtphdjVoNS0Fec7wUuNy1YFXyqSerE%3D
96,Oil palm India Ltd,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=S5v%2BQk4U71hywqUxlAzvuMNS0Fec7wUuNy1YFXyqSerE%3D
97,Plantation Corporation of Kerala Ltd,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SUAznQ9mBhx5GCYHtFRRm8g%3D%3D
98,Prisons Department,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=S6k75z33oc0pcHRfLnq58J9S0Fec7wUuNy1YFXyqSerE%3D
99,PWD,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=Sqfblx59yAoI1GX2pEwmyXg%3D%3D
100,Regional Cancer Centre,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SkUZyyCA2lSf5nTjFJAofK9S0Fec7wUuNy1YFXyqSerE%3D
101,Rural Development Department,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SsXU%2FZwIp%2Fd55FptvScFxRdS0Fec7wUuNy1YFXyqSerE%3D
102,Secretary Kollam District Panchayath,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SbDgKVwcJGNSPxeGbLL1DCdS0Fec7wUuNy1YFXyqSerE%3D
103,Smart City Thiruvananthapuram Limited,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SmtVkqppxzywfj7mKL7WdatS0Fec7wUuNy1YFXyqSerE%3D
104,Sports Kerala Foundation,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SWhv5fLhhRrtS2OnzJY8529S0Fec7wUuNy1YFXyqSerE%3D
105,Sree Sankaracharya University of Sanskrit,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SihWBWylWgpNUdznTfKpfINS0Fec7wUuNy1YFXyqSerE%3D
106,Stationery Department,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SiCLqqpe69bIF5g4RXDuKhw%3D%3D
107,Steel and Industrial Forgings Ltd,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SSrJAswtAP6cZSazMEKxlyg%3D%3D
108,Steel Industrials Kerala Ltd,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=STlvStUgmaCvUv2AUt6ri4w%3D%3D
109,Technopark Technology Business Incubator,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SO7iXJ7A2vi8u3Dyr5rXMxdS0Fec7wUuNy1YFXyqSerE%3D
110,The Kerala Ceramics Ltd,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SoF6FjpQuIeRKmQtPduGlRQ%3D%3D
111,The Kerala Land Development Corporation Ltd,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SsCcxQDT6Y8bwKIbPKlpa7NS0Fec7wUuNy1YFXyqSerE%3D
112,The Kerala State Cooperative Bank Ltd,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SoLYqu6kUjOq6VcFJ5cjwptS0Fec7wUuNy1YFXyqSerE%3D
113,Traco Cable Company Ltd,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SVgTzR1yl%2BXqa4xOIVccX5g%3D%3D
114,Transformers and Electricals Kerala Ltd.,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SHXzAeTkot7P4JDf%2FRD8GIA%3D%3D
115,Travancore Cochin Chemicals Ltd,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=Sq9lyBDbNRh8YGDoT5i49Pg%3D%3D
116,Travancore Devaswom Board,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SPlatpmyLLXrabRDSB3Mvxg%3D%3D
117,Travancore Titanium Products Ltd,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=ScUt5ocHB38Nhwfnjddz8AQ%3D%3D
